Id,Label ,Role,Based,artists,Basedlist,,,,,,,,,,,,,,,,
943,Robert Campbell Mcilvaine,,No results,Braulio Moz,NE,,,,,,,,,,,,980,976,,,
944,Tell Em,,No results,Omar Reynoso,NE,,,,,,,,,,,,981,976,,,
945,$NOT,,S,Joel Collado,No results,,,,,,,,,,,,982,976,,,
946,Cochise,,S,Akeem Turner,No results,,,,,,,,,,,,983,976,,,
947,Jootsu,,S,Knock Knock,No results,,,,,,,,,,,,984,976,,,
948,Dima Shorin,,W,SoFaygo,S,,,,,,,,,,,,985,976,,,
949,Luciana Salinas,,No results,Austin Puckett,W,,,,,,,,,,,,986,976,,,
950,Luke Rihl,,NE,Jacob L. Dugger,W/S,,,,,,,,,,,,987,976,,,
951,Mark Zurawiec,,MW,Daniela Montano,No results,,,,,,,,,,,,988,976,,,
952,Michelle Mink,,No results,Ritka Ramesh,No results,,,,,,,,,,,,989,976,,,
953,Adelyn Fahrlander,,MW,Sebastian Polanco,No results,,,,,,,,,,,,990,976,,,
954,Jaden Lowe,,No results,Aunah Guitron,W,,,,,,,,,,,,992,991,,,
955,Lamar Bloodworth,,No results,Charde Rene,W,,,,,,,,,,,,993,991,,,
956,Trent Mioscerny,,No results,Dmitri Christo,No results,,,,,,,,,,,,994,991,,,
957,Andrew Skalak,,MW,Chris Ginnaven,No results,,,,,,,,,,,,995,991,,,
958,Smooth Performance Offroad,,,Julian Tuzzeo,No results,,,,,,,,,,,,996,991,,,
959,His & Hers,,No results,Ryan Silber,W,,,,,,,,,,,,997,991,,,
960,Internet Money,,W,Nate Negron,No results,,,,,,,,,,,,998,991,,,
961,Lil Uzi Vert,,NE,1984,No results,,,,,,,,,,,,999,991,,,
962,George Hammond,,No results,Glaive,S,,,,,,,,,,,,1000,991,,,
963,Deighton McKoy,,NE,Nick Mira,W,,,,,,,,,,,,1001,991,,,
964,Parris Stewart,,NE,Jonathan Chou,No results,,,,,,,,,,,,1002,991,,,
965,Nolan Maloney,,No results,Erdem Ertal,W,,,,,,,,,,,,1003,991,,,
966,Brian Giallorenzo,,NE,Igor Cedeno,No results,,,,,,,,,,,,1004,991,,,
967,Kyle Fasanella,,S,Cain Camacho,MW,,,,,,,,,,,,1006,1005,,,
968,Alexis Harris,,NE,Drone Media Chicago,MW,,,,,,,,,,,,1007,1005,,,
969,Jessica Jimenez,,No results,John Jadkowski,MW,,,,,,,,,,,,1008,1005,,,
970,Rashi Jain,,No results,Mike Sallabus,No results,,,,,,,,,,,,1009,1005,,,
971,Frank Florencio,,No results,Frank Sallabus,No results,,,,,,,,,,,,1010,1005,,,
972,Braulio Moz,,NE,Rome Sudimac,MW,,,,,,,,,,,,1011,1005,,,
973,Omar Reynoso,,NE,Dan Awad,W,,,,,,,,,,,,1012,1005,,,
974,Joel Collado,,No results,MIA,No results,,,,,,,,,,,,1014,1013,,,
975,Akeem Turner,,No results,SSGKobe,S,,,,,,,,,,,,1015,1013,,,
976,Knock Knock,,No results,Ryder Johnson,W,,,,,,,,,,,,1016,1013,,,
977,SoFaygo,,S,Jaasu,NE,,,,,,,,,,,,1017,1013,,,
978,Austin Puckett,,W,Jug,CAN,,,,,,,,,,,,1018,1013,,,
979,Jacob L. Dugger,,W/S,Anthony Foster,W,,,,,,,,,,,,1019,1013,,,
980,,,No results,Chad Hudson,No results,,,,,,,,,,,,1020,1013,,,
981,Daniela Montano,,No results,Jesse Guzman,No results,,,,,,,,,,,,1021,1013,,,
982,Ritka Ramesh,,No results,Money On Me,No results,,,,,,,,,,,,1022,1013,,,
983,Sebastian Polanco,,No results,Paryo,W,,,,,,,,,,,,1023,1013,,,
984,Aunah Guitron,,W,Taz Taylor,W,,,,,,,,,,,,1024,1013,,,
985,Charde Rene,,W,Nicholas Lopez,No results,,,,,,,,,,,,1025,1013,,,
986,Dmitri Christo,,No results,David Reichman,No results,,,,,,,,,,,,1026,1013,,,
987,Chris Ginnaven,,No results,Wade Rodgers,No results,,,,,,,,,,,,1028,1027,,,
988,Julian Tuzzeo,,No results,Mike Cho,No results,,,,,,,,,,,,1029,1027,,,
989,Ryan Silber,,W,TJ Clounie,MW,,,,,,,,,,,,1030,1027,,,
990,Nate Negron,,No results,Guillaume A Le Mezo,MW,,,,,,,,,,,,1031,1027,,,
991,1984,,No results,Sebastian R. Lama,No results,,,,,,,,,,,,1032,1027,,,
992,Glaive,,S,Gary Walker,No results,,,,,,,,,,,,1033,1027,,,
993,,,No results,Sean P. Faghey,No results,,,,,,,,,,,,1035,1034,,,
994,Nick Mira,,W,Rooty Jackson,W,,,,,,,,,,,,1036,1034,,,
995,Jonathan Chou,,No results,Devon Smith,No results,,,,,,,,,,,,1037,1034,,,
996,Erdem Ertal,,W,14,No results,,,,,,,,,,,,1038,1034,,,
997,Igor Cedeno,,No results,BabySantana,S,,,,,,,,,,,,1039,1034,,,
998,Cain Camacho,,MW,Ka$hdami,S,,,,,,,,,,,,1040,1034,,,
999,Drone Media Chicago,,MW,Level,GER,,,,,,,,,,,,1041,1034,,,
1000,John Jadkowski,,MW,Seth Craven,W,,,,,,,,,,,,1043,1042,,,
1001,Mike Sallabus,,No results,James Arterberry,W,,,,,,,,,,,,1044,1042,,,
1002,Frank Sallabus,,No results,Matthew Madden,No results,,,,,,,,,,,,1045,1042,,,
1003,Rome Sudimac,,MW,House Party,No results,,,,,,,,,,,,1046,1042,,,
1004,Dan Awad,,W,DCG Bsavv,MW,,,,,,,,,,,,1047,1042,,,
1005,MIA,,No results,DCG Shun,MW,,,,,,,,,,,,1048,1042,,,
1006,SSGKobe,,S,Adin Ross,W,,,,,,,,,,,,1050,1049,,,
1007,Ryder Johnson,,W,Jimmy Lee Smith,No results,,,,,,,,,,,,1051,1049,,,
1008,Jaasu,,NE,Iryielle Barrett,W,,,,,,,,,,,,1052,1049,,,
1009,Jug,,CAN,Kenneth Mark,No results,,,,,,,,,,,,1054,1053,,,
1010,Anthony Foster,,W,Toxicity,No results,,,,,,,,,,,,1055,1053,,,
1011,Chad Hudson,,No results,YTB Trench,MW,,,,,,,,,,,,1056,1053,,,
1012,Jesse Guzman,,No results,Hype Beatz,FR,,,,,,,,,,,,1057,1053,,,
1013,Money On Me,,No results,Allan Chavarria,W,,,,,,,,,,,,1058,1053,,,
1014,Paryo,,W,Mark Zuraweic,No results,,,,,,,,,,,,1059,1053,,,
1015,Taz Taylor,,W,Jackson Visuals,S,,,,,,,,,,,,1060,1053,,,
1016,Nicholas Lopez,,No results,100K Track,S,,,,,,,,,,,,1061,1053,,,
1017,David Reichman,,No results,Calabasas,No results,,,,,,,,,,,,1062,1053,,,
1018,Wade Rodgers,,No results,Caspell,GER,,,,,,,,,,,,1063,1053,,,
1019,Mike Cho,,No results,Logan Meis,W,,,,,,,,,,,,1064,1053,,,
1020,TJ Clounie,,MW,Jimmy Smith,No results,,,,,,,,,,,,1065,1053,,,
1021,Guillaume A Le Mezo,,MW,GNF,No results,,,,,,,,,,,,1066,1053,,,
1022,Sebastian R. Lama,,No results,WIZARDMCE,SWE,,,,,,,,,,,,1068,1067,,,
1023,Gary Walker,,No results,Varohl,SWE,,,,,,,,,,,,1069,1067,,,
1024,Sean P. Faghey,,No results,Geoffrey Fingerhut,NE,,,,,,,,,,,,1070,1067,,,
1025,Rooty Jackson,,W,Kevin Olson,No results,,,,,,,,,,,,1071,1067,,,
1026,Devon Smith,,No results,Bradley Smith,No results,,,,,,,,,,,,1072,1067,,,
1027,14,,No results,Sam Demio,MW,,,,,,,,,,,,1073,1067,,,
1028,BabySantana,,S,Skoop Taylor,No results,,,,,,,,,,,,1074,1067,,,
1029,Ka$hdami,,S,Isabel O'Sullivan,No results,,,,,,,,,,,,1075,1067,,,
1030,Level,,GER,Iry Barrett,W,,,,,,,,,,,,1076,1067,,,
1031,Seth Craven,,W,Anthony Alvarado,No results,,,,,,,,,,,,1077,1067,,,
1032,James Arterberry,,W,Wyatt Morrison,W,,,,,,,,,,,,1078,1067,,,
1033,Matthew Madden,,No results,Eli Wallace,NE,,,,,,,,,,,,1079,1067,,,
1034,House Party,,No results,Ari Golan,MW,,,,,,,,,,,,1080,1067,,,
1035,DCG Bsavv,,MW,Kanye Krazy,No results,,,,,,,,,,,,1081,1067,,,
1036,DCG Shun,,MW,Karltin Banks,S,,,,,,,,,,,,1082,1067,,,
1037,,,No results,LondnBlue,S,,,,,,,,,,,,1083,1067,,,
1038,Adin Ross,,W,John Lam,S,,,,,,,,,,,,1084,1067,,,
1039,Jimmy Lee Smith,,No results,Tahj Money,S,,,,,,,,,,,,1085,1067,,,
1040,Iryielle Barrett,,W,Nick Szopko,CAN,,,,,,,,,,,,1086,1067,,,
1041,Kenneth Mark,,No results,Tristan Zammit,NE,,,,,,,,,,,,1087,1067,,,
1042,Toxicity,,No results,Kourosh Farhangi,W,,,,,,,,,,,,1088,1067,,,
1043,YTB Trench,,MW,Dave Romeo,No results,,,,,,,,,,,,1090,1089,,,
1044,Hype Beatz,,FR,Brian Williams,No results,,,,,,,,,,,,1091,1089,,,
1045,Allan Chavarria,,W,Noah Kelly,No results,,,,,,,,,,,,1092,1089,,,
1046,Mark Zuraweic,,No results,Arthur Garcia,No results,,,,,,,,,,,,1093,1089,,,
1047,Jackson Visuals,,S,Kyle Thor,No results,,,,,,,,,,,,1094,1089,,,
1048,100K Track,,S,Collin Gallivan,W,,,,,,,,,,,,1095,1089,,,
1049,Calabasas,,No results,Kevin Mayes,No results,,,,,,,,,,,,1096,1089,,,
1050,Caspell,,GER,Stephanie Amelie,No results,,,,,,,,,,,,1097,1089,,,
1051,Logan Meis,,W,Aunah Lee,No results,,,,,,,,,,,,1098,1089,,,
1052,Jimmy Smith,,No results,Brittania Jones,W,,,,,,,,,,,,1099,1089,,,
1053,GNF,,No results,Steve Andrews,No results,,,,,,,,,,,,1100,1089,,,
1054,WIZARDMCE,,SWE,Travis Moelter,W,,,,,,,,,,,,1101,1089,,,
1055,Varohl,,SWE,Caleb Kephart,No results,,,,,,,,,,,,1102,1089,,,
1056,Geoffrey Fingerhut,,NE,Devin Duncan,No results,,,,,,,,,,,,1103,1089,,,
1057,Kevin Olson,,No results,Bad Boy,No results,,,,,,,,,,,,1104,1089,,,
1058,Bradley Smith,,No results,Young Thug,S,,,,,,,,,,,,1105,1089,,,
1059,Sam Demio,,MW,Pi'erre Bourne,NE,,,,,,,,,,,,1106,1089,,,
1060,Skoop Taylor,,No results,Nocturnal FX,W,,,,,,,,,,,,1107,1089,,,
1061,Isabel O'Sullivan,,No results,Olivia Aquilina,W,,,,,,,,,,,,1109,1108,,,
1062,Iry Barrett,,W,Paige Hochstatter,MW/W,,,,,,,,,,,,1110,1108,,,
1063,Anthony Alvarado,,No results,Christian Meijia,W,,,,,,,,,,,,1111,1108,,,
1064,Wyatt Morrison,,W,Salvador Torrison,No results,,,,,,,,,,,,1112,1108,,,
1065,Eli Wallace,,NE,Jonathan Lopez,No results,,,,,,,,,,,,1113,1108,,,
1066,Ari Golan,,MW,Alex Halsted,No results,,,,,,,,,,,,1114,1108,,,
1067,Kanye Krazy,,No results,Lars Moede,No results,,,,,,,,,,,,1115,1108,,,
1068,Karltin Banks,,S,Conrad Edmonds,No results,,,,,,,,,,,,1116,1108,,,
1069,LondnBlue,,S,Michelle Echevarria,No results,,,,,,,,,,,,1117,1108,,,
1070,John Lam,,S,Bernard Niyonzima,No results,,,,,,,,,,,,1118,1108,,,
1071,Tahj Money,,S,Blayne Parker,MW,,,,,,,,,,,,1119,1108,,,
1072,Nick Szopko,,CAN,Jake Wilson,No results,,,,,,,,,,,,1120,1108,,,
1073,Tristan Zammit,,NE,Lance Rowland,No results,,,,,,,,,,,,1122,1121,,,
1074,Kourosh Farhangi,,W,Faisal A.Omar,No results,,,,,,,,,,,,1123,1121,,,
1075,Dave Romeo,,No results,Lyrical Lemonade,MW,,,,,,,,,,,,1124,1121,,,
1076,Brian Williams,,No results,GNAT,No results,,,,,,,,,,,,1125,1121,,,
1077,Noah Kelly,,No results,Shady Records,MW/NE,,,,,,,,,,,,1126,1121,,,
1078,Arthur Garcia,,No results,Danielle Grow,MW,,,,,,,,,,,,1127,1121,,,
1079,Kyle Thor,,No results,Patrick George,No results,,,,,,,,,,,,1128,1121,,,
1080,Collin Gallivan,,W,Tyler Grimm,No results,,,,,,,,,,,,1129,1121,,,
1081,Kevin Mayes,,No results,Sean Genrich,MW/W,,,,,,,,,,,,1130,1121,,,
1082,Stephanie Amelie,,No results,Dawn Boonyachlito,W,,,,,,,,,,,,1131,1121,,,
1083,Aunah Lee,,No results,Angela McBride,No results,,,,,,,,,,,,1132,1121,,,
1084,Brittania Jones,,W,Michelle Willis,No results,,,,,,,,,,,,1133,1121,,,
1085,Steve Andrews,,No results,Cisco Newman,W,,,,,,,,,,,,1134,1121,,,
1086,Travis Moelter,,W,Kathy Angstadt,W,,,,,,,,,,,,1135,1121,,,
1087,Caleb Kephart,,No results,Karl Williams Jr.,MW,,,,,,,,,,,,1136,1121,,,
1088,Devin Duncan,,No results,Coco,No results,,,,,,,,,,,,1137,1121,,,
1089,Bad Boy,,No results,DaBaby,S,,,,,,,,,,,,1138,1121,,,
1090,Young Thug,,S,24kGoldn,W,,,,,,,,,,,,1139,1121,,,
1091,Pi'erre Bourne,,NE,94Skrt,S,,,,,,,,,,,,1140,1121,,,
1092,Nocturnal FX,,W,Omer Fedi,W,,,,,,,,,,,,1141,1121,,,
1093,Olivia Aquilina,,W,Joshua Borgogni,W,,,,,,,,,,,,1142,1121,,,
1094,Paige Hochstatter,,MW/W,Boshko Ikovic,No results,,,,,,,,,,,,1143,1121,,,
1095,Christian Meijia,,W,Rebekah Lloyd,No results,,,,,,,,,,,,1145,1144,,,
1096,Salvador Torrison,,No results,Stephen Andrews,No results,,,,,,,,,,,,1146,1144,,,
1097,Jonathan Lopez,,No results,Isiah Ahmad,No results,,,,,,,,,,,,1147,1144,,,
1098,Alex Halsted,,No results,Iyrielle Barrett,No results,,,,,,,,,,,,1148,1144,,,
1099,Lars Moede,,No results,Gifty Marcos,NE,,,,,,,,,,,,1149,1144,,,
1100,Conrad Edmonds,,No results,Be,No results,,,,,,,,,,,,1150,1144,,,
1101,Michelle Echevarria,,No results,Bianca Gonzalez,No results,,,,,,,,,,,,1152,1151,,,
1102,Bernard Niyonzima,,No results,Julie Dinh,W,,,,,,,,,,,,1153,1151,,,
1103,Blayne Parker,,MW,Nikki Parisi,W,,,,,,,,,,,,1154,1151,,,
1104,Jake Wilson,,No results,Jordan White,No results,,,,,,,,,,,,1155,1151,,,
1105,Lance Rowland,,No results,No Signal,No results,,,,,,,,,,,,1156,1151,,,
1106,Faisal A.Omar,,No results,Aunna Guitron,No results,,,,,,,,,,,,1157,1151,,,
1107,Lyrical Lemonade,,MW,Emonie Hubbart,No results,,,,,,,,,,,,1158,1151,,,
1108,GNAT,,No results,Alexander Padilla,No results,,,,,,,,,,,,1159,1151,,,
1109,,,No results,Raymond Wilson,No results,,,,,,,,,,,,1160,1151,,,
1110,Shady Records,,MW/NE,Cat McCabe,W,,,,,,,,,,,,1161,1151,,,
1111,Danielle Grow,,MW,Lost Ones,No results,,,,,,,,,,,,1162,1151,,,
1112,Patrick George,,No results,18YOMAN,AUS,,,,,,,,,,,,1163,1151,,,
1113,Tyler Grimm,,No results,SickDrumz,NZ,,,,,,,,,,,,1164,1151,,,
1114,Sean Genrich,,MW/W,"Nick ""Unknown Nick"" Audino",S,,,,,,,,,,,,1165,1151,,,
1115,Dawn Boonyachlito,,W,Bihilo Briggs,No results,,,,,,,,,,,,1166,1151,,,
1116,Angela McBride,,No results,Keaton Rodgers,W,,,,,,,,,,,,1167,1151,,,
1117,Michelle Willis,,No results,Corey Scoffern,No results,,,,,,,,,,,,1169,1168,,,
1118,Cisco Newman,,W,So Done,No results,,,,,,,,,,,,1170,1168,,,
1119,Kathy Angstadt,,W,Khaled Rohaim,AUS,,,,,,,,,,,,1171,1168,,,
1120,Karl Williams Jr.,,MW,Tyler Rain,W,,,,,,,,,,,,1172,1168,,,
1121,Coco,,No results,Zack Kramer,No results,,,,,,,,,,,,1173,1168,,,
1122,DaBaby,,S,Ambre Reed,No results,,,,,,,,,,,,1174,1168,,,
1123,24kGoldn,,W,Shirley Chung,No results,,,,,,,,,,,,1175,1168,,,
1124,94Skrt,,S,Shaina Paulson,W,,,,,,,,,,,,1176,1168,,,
1125,Omer Fedi,,W,Asaad Khan,No results,,,,,,,,,,,,1177,1168,,,
1126,Joshua Borgogni,,W,Daniel Vlahos,No results,,,,,,,,,,,,1178,1168,,,
1127,Boshko Ikovic,,No results,Andrew Dorward,W,,,,,,,,,,,,1179,1168,,,
1128,Rebekah Lloyd,,No results,Isaiah Reza-Soto,W,,,,,,,,,,,,1180,1168,,,
1129,Stephen Andrews,,No results,Nicolas Ortiz y Pino,W,,,,,,,,,,,,1181,1168,,,
1130,Isiah Ahmad,,No results,Daniel Cabral,No results,,,,,,,,,,,,1182,1168,,,
1131,Iyrielle Barrett,,No results,Keilon Thompson,No results,,,,,,,,,,,,1183,1168,,,
1132,Gifty Marcos,,NE,Nathanael Negron,No results,,,,,,,,,,,,1184,1168,,,
1133,Be,,No results,Lee Wilson,No results,,,,,,,,,,,,1186,1185,,,
1134,Bianca Gonzalez,,No results,Jonah Hart,MW,,,,,,,,,,,,1187,1185,,,
1135,Julie Dinh,,W,Mean,No results,,,,,,,,,,,,1188,1185,,,
1136,Nikki Parisi,,W,Flo Milli,S,,,,,,,,,,,,1189,1185,,,
1137,Jordan White,,No results,Woodpecker,GER,,,,,,,,,,,,1190,1185,,,
1138,No Signal,,No results,Sam Robinson,W,,,,,,,,,,,,1191,1185,,,
1139,Aunna Guitron,,No results,Corey Milikin,W,,,,,,,,,,,,1192,1185,,,
1140,Emonie Hubbart,,No results,Landon Brands,W,,,,,,,,,,,,1193,1185,,,
1141,Alexander Padilla,,No results,Edgar Gonzalez,No results,,,,,,,,,,,,1194,1185,,,
1142,Raymond Wilson,,No results,Jennifer Buchalla,W,,,,,,,,,,,,1195,1185,,,
1143,Cat McCabe,,W,Shaman Harsha,W,,,,,,,,,,,,1196,1185,,,
1144,Lost Ones,,No results,Jake Markow,S,,,,,,,,,,,,1197,1185,,,
1145,18YOMAN,,AUS,Lallie Jones,W,,,,,,,,,,,,1198,1185,,,
1146,SickDrumz,,NZ,Az Cohen,NE,,,,,,,,,,,,1200,1199,,,
1147,"Nick ""Unknown Nick"" Audino",,S,Nathaniel Copes,W,,,,,,,,,,,,1201,1199,,,
1148,Bihilo Briggs,,No results,Vonsin Faniyi,W,,,,,,,,,,,,1202,1199,,,
1149,Keaton Rodgers,,W,danasia_sutton,No results,,,,,,,,,,,,1203,1199,,,
1150,Corey Scoffern,,No results,thescottedit,W,,,,,,,,,,,,1204,1199,,,
1151,So Done,,No results,jstayready_,W,,,,,,,,,,,,1205,1199,,,
1152,Khaled Rohaim,,AUS,REVENGE,No results,,,,,,,,,,,,1207,1206,,,
1153,Tyler Rain,,W,Eem Triplin,NE,,,,,,,,,,,,1208,1206,,,
1154,Zack Kramer,,No results,Zariah Dalley,W,,,,,,,,,,,,1209,1206,,,
1155,Ambre Reed,,No results,Robert Gillard,No results,,,,,,,,,,,,1210,1206,,,
1156,Shirley Chung,,No results,Josue Martinez,No results,,,,,,,,,,,,1211,1206,,,
1157,Shaina Paulson,,W,Michael Liska,No results,,,,,,,,,,,,1212,1206,,,
1158,Asaad Khan,,No results,Michael MoNo resultss,No results,,,,,,,,,,,,1213,1206,,,
1159,Daniel Vlahos,,No results,Cosmo Orlando,W,,,,,,,,,,,,1214,1206,,,
1160,Andrew Dorward,,W,Christian Avila,No results,,,,,,,,,,,,1215,1206,,,
1161,Isaiah Reza-Soto,,W,Madison Wells,W,,,,,,,,,,,,1216,1206,,,
1162,Nicolas Ortiz y Pino,,W,"Birns & Sawyer, Inc.",W,,,,,,,,,,,,1217,1206,,,
1163,Daniel Cabral,,No results,Paloma Aguirre,No results,,,,,,,,,,,,1218,1206,,,
1164,Keilon Thompson,,No results,"Cyan Group, Inc",UK,,,,,,,,,,,,1220,1219,,,
1165,Nathanael Negron,,No results,"Grafico, Inc",W,,,,,,,,,,,,1221,1219,,,
1166,Lee Wilson,,No results,Dolly,No results,,,,,,,,,,,,1222,1219,,,
1167,Jonah Hart,,MW,TXBITHETEENVGER,No results,,,,,,,,,,,,1224,1223,,,
1168,Mean,,No results,C4Bombs,S,,,,,,,,,,,,1225,1223,,,
1169,Flo Milli,,S,BRackz,S,,,,,,,,,,,,1226,1223,,,
1170,Woodpecker,,GER,Cones,No results,,,,,,,,,,,,1227,1223,,,
1171,Sam Robinson,,W,Benjamin Elias,No results,,,,,,,,,,,,1229,1228,,,
1172,Corey Milikin,,W,Tom Nguyen,No results,,,,,,,,,,,,1230,1228,,,
1173,Landon Brands,,W,On God,No results,,,,,,,,,,,,1231,1228,,,
1174,Edgar Gonzalez,,No results,Mulatto,S,,,,,,,,,,,,1232,1228,,,
1175,Jennifer Buchalla,,W,Bankroll Got It,W,,,,,,,,,,,,1233,1228,,,
1176,Shaman Harsha,,W,Diego Ave,W,,,,,,,,,,,,1234,1228,,,
1177,Jake Markow,,S,Todd White,No results,,,,,,,,,,,,1235,1228,,,
1178,Lallie Jones,,W,Melissa Ocasio,W,,,,,,,,,,,,1236,1228,,,
1179,Az Cohen,,NE,Eri Ishizu,W/NE,,,,,,,,,,,,1237,1228,,,
1180,Nathaniel Copes,,W,Shalecia Martin,No results,,,,,,,,,,,,1239,1238,,,
1181,Vonsin Faniyi,,W,Kevin Pontrelli,No results,,,,,,,,,,,,1240,1238,,,
1182,danasia_sutton,,No results,Coi Leray,NE,,,,,,,,,,,,1241,1238,,,
1183,thescottedit,,W,Mariah The Scientist,S,,,,,,,,,,,,1243,1242,,,
1184,jstayready_,,W,Brandon Farmer,S,,,,,,,,,,,,1244,1242,,,
1185,REVENGE,,No results,Kayla Jackson,No results,,,,,,,,,,,,1245,1242,,,
1186,Eem Triplin,,NE,Baby,No results,,,,,,,,,,,,1247,1246,,,
1187,Zariah Dalley,,W,Blueface,W,,,,,,,,,,,,1248,1246,,,
1188,Robert Gillard,,No results,Scum Beatz,W,,,,,,,,,,,,1249,1246,,,
1189,Josue Martinez,,No results,Mike Crook,W,,,,,,,,,,,,1251,1250,,,
1190,Michael Liska,,No results,Gifted,No results,,,,,,,,,,,,1253,1252,,,
1191,Michael MoNo resultss,,No results,Ray Keys,W,,,,,,,,,,,,1254,1252,,,
1192,Cosmo Orlando,,W,BongoBytheway,W/S/NE,,,,,,,,,,,,1255,1252,,,
1193,Christian Avila,,No results,Ant Clemons,W,,,,,,,,,,,,1257,1256,,,
1194,Madison Wells,,W,Lemonade,No results,,,,,,,,,,,,1258,1256,,,
1195,"Birns & Sawyer, Inc.",,W,Nav,CAN,,,,,,,,,,,,1259,1256,,,
1196,Paloma Aguirre,,No results,Alec Wigdahl,W,,,,,,,,,,,,1261,1260,,,
1197,"Cyan Group, Inc",,UK,Etrou,NE,,,,,,,,,,,,1262,1260,,,
1198,"Grafico, Inc",,W,Pharaoh Vice,W,,,,,,,,,,,,1263,1260,,,
1199,Dolly,,No results,7th Light Ent.,No results,,,,,,,,,,,,1264,1260,,,
1200,TXBITHETEENVGER,,No results,Billy Briggs,No results,,,,,,,,,,,,1266,1265,,,
1201,C4Bombs,,S,Cole Brewer,No results,,,,,,,,,,,,1268,1267,,,
1202,BRackz,,S,Samuel Cohen,No results,,,,,,,,,,,,1269,1267,,,
1203,Cones,,No results,Travis Bailey,W,,,,,,,,,,,,1270,1267,,,
1204,Benjamin Elias,,No results,Burn The Hoods,No results,,,,,,,,,,,,1272,1271,,,
1205,Tom Nguyen,,No results,YoungKio,NL,,,,,,,,,,,,1273,1271,,,
1206,On God,,No results,BlakPro,S,,,,,,,,,,,,1275,1274,,,
1207,Mulatto,,S,Wckdthghts,W,,,,,,,,,,,,1276,1274,,,
1208,Bankroll Got It,,W,Tell Me Why,No results,,,,,,,,,,,,1278,1277,,,
1209,Diego Ave,,W,Rio Leyva,W,,,,,,,,,,,,1279,1277,,,
1210,Todd White,,No results,okTanner,W,,,,,,,,,,,,1281,1280,,,
1211,Melissa Ocasio,,W,mjNichols`,W,,,,,,,,,,,,1284,1283,,,
1212,Eri Ishizu,,W/NE,3 Headed Goat,No results,,,,,,,,,,,,1286,1285,,,
1213,Shalecia Martin,,No results,Lil Baby,S,,,,,,,,,,,,1287,1285,,,
1214,Kevin Pontrelli,,No results,Cicero,S,,,,,,,,,,,,1290,1289,,,
1215,Coi Leray,,NE,Aviator Keyz,S,,,,,,,,,,,,1291,1289,,,
1216,Mariah The Scientist,,S,21,No results,,,,,,,,,,,,1293,1292,,,
1217,Brandon Farmer,,S,Keanu Beats,AUS,,,,,,,,,,,,1295,1294,,,
1218,Kayla Jackson,,No results,Shotta Flow 5,No results,,,,,,,,,,,,1296,1294,,,
1219,Baby,,No results,NLE Choppa,S,,,,,,,,,,,,1297,1294,,,
1220,Blueface,,W,Xavi,MW,,,,,,,,,,,,1300,1299,,,
1221,Scum Beatz,,W,Payday,NOR,,,,,,,,,,,,1301,1299,,,
1222,Mike Crook,,W,Tell Me You Luv Me,No results,,,,,,,,,,,,1303,1302,,,
1223,Gifted,,No results,Aidan Cullen,W/NE,,,,,,,,,,,,1305,1304,,,
1224,Ray Keys,,W,Ally Lotti,W,,,,,,,,,,,,1306,1304,,,
1225,BongoBytheway,,W/S/NE,Save Me,No results,,,,,,,,,,,,1307,1304,,,
1226,Ant Clemons,,W,TheHxliday,MW,,,,,,,,,,,,1309,1308,,,
1227,,,No results,Shndo,S,,,,,,,,,,,,1310,1308,,,
1228,Lemonade,,No results,Wallis Lane,W,,,,,,,,,,,,1312,1311,,,
1229,Nav,,CAN,Kyler Jae,No results,,,,,,,,,,,,1313,1311,,,
1230,Alec Wigdahl,,W,AI Nash,No results,,,,,,,,,,,,1315,1314,,,
1231,Etrou,,NE,Youngboy Never Broke Again,W,,,,,,,,,,,,1317,1316,,,
1232,Pharaoh Vice,,W,Blueberry Faygo,No results,,,,,,,,,,,,1318,1316,,,
1233,7th Light Ent.,,No results,Lil Mosey,W,,,,,,,,,,,,1320,1319,,,
1234,Billy Briggs,,No results,Callan,W,,,,,,,,,,,,1321,1319,,,
1235,Cole Brewer,,No results,Mogul Vision,NE,,,,,,,,,,,,1322,1319,,,
1236,Samuel Cohen,,No results,Far From You,No results,,,,,,,,,,,,1324,1323,,,
1237,Travis Bailey,,W,Reske,NE,,,,,,,,,,,,1326,1325,,,
1238,Burn The Hoods,,No results,Austin Powerz,W,,,,,,,,,,,,1327,1325,,,
1239,YoungKio,,NL,Godzilla,No results,,,,,,,,,,,,1328,1325,,,
1240,BlakPro,,S,Bashir Taylor,No results,,,,,,,,,,,,1330,1329,,,
1241,Wckdthghts,,W,Mike Tyson,W,,,,,,,,,,,,1331,1329,,,
1242,Tell Me Why,,No results,Thief In The Night,No results,,,,,,,,,,,,1332,1329,,,
1243,Rio Leyva,,W,Rod Wave,S,,,,,,,,,,,,1336,1335,,,
1244,okTanner,,W,Trillo Beats,S,,,,,,,,,,,,1337,1335,,,
1245,mjNichols`,,W,Diva,No results,,,,,,,,,,,,1339,1338,,,
1246,3 Headed Goat,,No results,Dez Wright,W,,,,,,,,,,,,1340,1338,,,
1247,Lil Baby,,S,IDK,No results,,,,,,,,,,,,1342,1341,,,
1248,Cicero,,S,WHATS POPPIN,No results,,,,,,,,,,,,1344,1343,,,
1249,Aviator Keyz,,S,Jetsonmade,S,,,,,,,,,,,,1346,1345,,,
1250,21,,No results,Let Her Go,No results,,,,,,,,,,,,1347,1345,,,
